rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
63,12,10,-90.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
64,12,10,-90.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
65,12,15,-90.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
66,12,15,-90.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
67,12,20,-90.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
68,12,20,-90.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
69,12,30,-90.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
70,12,30,-90.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
71,12,3,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
72,12,3,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
73,12,5,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
74,12,5,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
75,12,8,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
76,12,8,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
77,12,10,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
78,12,10,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
79,12,15,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
80,12,15,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
81,12,20,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
82,12,20,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
83,12,30,-85.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
84,12,30,-85.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
85,15,3,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
86,15,3,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
87,15,5,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
88,15,5,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
89,15,8,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
90,15,8,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
91,15,10,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
92,15,10,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
93,15,15,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
94,15,15,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
95,15,20,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
96,15,20,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
97,15,30,-110.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
98,15,30,-110.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
99,15,3,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
100,15,3,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
101,15,5,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
102,15,5,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
103,15,8,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
104,15,8,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
105,15,10,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
106,15,10,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
107,15,15,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
108,15,15,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
109,15,20,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
110,15,20,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
111,15,30,-105.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
112,15,30,-105.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
113,15,3,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
114,15,3,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
115,15,5,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
116,15,5,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
117,15,8,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
118,15,8,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
119,15,10,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
120,15,10,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
121,15,15,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
122,15,15,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
123,15,20,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
124,15,20,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
125,15,30,-100.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
126,15,30,-100.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
127,15,3,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
128,15,3,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
129,15,5,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
130,15,5,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
131,15,8,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
